Appendix,Scientific_Name
APPENDIX I ,Agave parviflora 
APPENDIX I ,Agave hartmanii
APPENDIX I ,Pachypodium ambongense
APPENDIX I ,Pachypodium baronii
APPENDIX I ,Pachypodium baronii var.baronii  
APPENDIX I ,Pachypodium baronii var.erythreum
APPENDIX I ,Pachypodium decaryi
APPENDIX I ,Araucaria araucana
APPENDIX I ,Abies araucana
APPENDIX I ,Araucaria araucana
APPENDIX I ,Araucaria araucana subsp. conguillioensis
APPENDIX I ,Araucaria araucana var. angustifolia
APPENDIX I ,Araucaria araucana var. aurea
APPENDIX I ,Araucaria chilensis
APPENDIX I ,Araucaria dombeyi
APPENDIX I ,Araucaria imbricata
APPENDIX I ,Araucaria imbricata var. aurea
APPENDIX I ,Araucaria imbricata var. platifolia
APPENDIX I ,Araucaria imbricata var. variegata
APPENDIX I ,Columbea imbricata
APPENDIX I ,Columbea imbricata var. densa
APPENDIX I ,Columbea imbricata var. denudata
APPENDIX I ,Columbea imbricata var. distans
APPENDIX I ,Columbea imbricata var. latifolia
APPENDIX I ,Columbea imbricata var. striata
APPENDIX I ,Columbea imbricata var. variegata
APPENDIX I ,Columbea quadrifaria
APPENDIX I ,Pinus araucana
APPENDIX I ,Ariocarpus spp. 
APPENDIX I ,Astrophytum asterias 
APPENDIX I ,Astrophytum asterias var. magnipunctatum
APPENDIX I ,Astrophytum asterias var. multipunctatum
APPENDIX I ,Astrophytum asterias var. nudicarpa
APPENDIX I ,Astrophytum asterias var. nudum
APPENDIX I ,Astrophytum asterias var. pubescente
APPENDIX I ,Astrophytum asterias var. roseiflorum
APPENDIX I ,Astrophytum asterias var. seminudum
APPENDIX I ,Echinocactus asterias
APPENDIX I ,Echinocactus asterias var. nudus
APPENDIX I ,Aztekium ritteri 
APPENDIX I ,Echinocactus ritteri
APPENDIX I ,Coryphantha werdermannii
APPENDIX I ,Coryphantha werdermannii subsp. unguispina
APPENDIX I , Discocactus spp. 
APPENDIX I ,Echinocereus ferreiranus ssp. Lindsayorum
APPENDIX I ,Echinocereus ferreiranus var. lindsayorum
APPENDIX I ,Echinocereus lindsayi
APPENDIX I ,Echinocereus lindsayorum
APPENDIX I , Echinocereus schmollii 
APPENDIX I ,Cereus schmollii
APPENDIX I ,Wilcoxia nerispina
APPENDIX I ,Wilcoxia schmollii
APPENDIX I ,Wilcoxia schmollii var. lanata
APPENDIX I ,Escobaria minima 
APPENDIX I ,Coryphantha minima
APPENDIX I ,Coryphantha nellieae
APPENDIX I ,Escobaria nellieae
APPENDIX I ,Mammillaria nellieae
APPENDIX I ,Neobesseya minima
APPENDIX I ,Escobaria sneedii 
APPENDIX I ,Coryphantha albicolumnaria
APPENDIX I ,Coryphantha sneedii
APPENDIX I ,Coryphantha sneedii var. albicolumnaria
APPENDIX I ,Coryphantha sneedii var. guadalupensis
APPENDIX I ,Escobaria albicolumnaria
APPENDIX I ,Escobaria guadalupensis
APPENDIX I ,Escobaria sneedii subsp. albicolumnaria
APPENDIX I ,Mammillaria sneedii
APPENDIX I ,Mammillaria pectinifera (Includes ssp. Solisioidesi)
APPENDIX I ,Mammillaria pectinifera f. solisioides
APPENDIX I ,Mammillaria solisioides
APPENDIX I ,Solisia solisioides
APPENDIX I ,Melocactus conoideus 
APPENDIX I ,Melocactus deinacanthus 
APPENDIX I ,Melocactus glaucescens 
APPENDIX I ,Melocactus glaucencens
APPENDIX I ,Melocactus paucispinus 
APPENDIX I ,Obregonia denegrii 
APPENDIX I ,Ariocarpus denegrii
APPENDIX I ,Strombocactus denegrii
APPENDIX I ,Pachycereus militaris 
APPENDIX I ,Backebergia militaris
APPENDIX I ,Backebergia militaris
APPENDIX I ,Cephalocereus chrysomallus
APPENDIX I ,Cephalocereus militaris
APPENDIX I ,Cereus chrysomallus
APPENDIX I ,Cereus militaris
APPENDIX I ,Mitrocereus chrysomallus
APPENDIX I ,Mitrocereus chrysomallus
APPENDIX I ,Mitrocereus militaris
APPENDIX I ,Pachycereus chrysomallus
APPENDIX I ,Pachycereus militaris
APPENDIX I ,Pilocereus chrysomallus
APPENDIX I ,Pilocereus militaris
APPENDIX I ,Pediocactus bradyi 
APPENDIX I ,Pediocactella bradyi
APPENDIX I ,Pediocactus simpsonii subsp. bradyi
APPENDIX I ,Puebloa bradyi (L.D.Benson)
APPENDIX I ,Toumeya bradyi (L.D.Benson)
APPENDIX I ,Pediocactus knowltonii 
APPENDIX I ,Pediocactus bradyi var. knowltonii
APPENDIX I ,Pediocactus simpsonii var. knowltonii
APPENDIX I ,Pediocactus paradinei 
APPENDIX I ,Pediocactus simpsonii var. paradinei
